Object,Neighbor,Distance
7503,7506,13.548093
7504,7534,14.122629
7506,7503,13.548093
7511,7530,11.723748
7530,7511,11.723748
7531,7475,11.139041
7534,7504,14.122629
7550,7591,13.102716
7551,7496,14.660043
7552,7585,13.116871
7554,7479,14.995633
7585,7552,13.116871
7591,7550,13.102716
7601,7627,12.505176
7627,7601,12.505176
7648,7660,11.9707155
7660,7648,11.9707155
7691,7715,10.127537
7715,7691,10.127537
7759,7772,14.7322445
7761,7795,14.611778
7772,7759,14.7322445
7795,7761,14.611778
7804,7824,9.661611
7824,7804,9.661611
7836,7864,12.055243
7837,7874,13.970709
7846,7867,12.8747635
7849,7882,12.64017
7862,7904,14.244327
7862,7915,12.894771
7864,7836,12.055243
7867,7913,12.874132
7867,7846,12.8747635
7874,7837,13.970709
7881,7921,10.769301
7882,7849,12.64017
7893,7903,13.836525
7903,7893,13.836525
7904,7862,14.244327
7904,7915,11.046909
7906,7925,14.986222
7913,7867,12.874132
7915,7904,11.046909
7915,7862,12.894771
7921,7881,10.769301
7925,7906,14.986222
7925,7953,5.8163867
7953,7925,5.8163867
7959,8008,14.07897
7991,7997,8.7561655
7997,7991,8.7561655
8008,7959,14.07897
8049,8098,14.2436905
8080,8103,8.944849
8088,8103,10.578985
8090,8094,14.80859
8091,8147,13.364507
8094,8090,14.80859
8098,8049,14.2436905
8103,8088,10.578985
8103,8080,8.944849
8104,8148,13.555199
8105,8140,10.16777
8130,8162,14.747233
8140,8105,10.16777
8140,8173,10.276714
8147,8091,13.364507
8148,8104,13.555199
8162,8130,14.747233
8173,8140,10.276714
8212,8263,14.004885
8221,8238,14.272593
8238,8221,14.272593
8239,8247,14.945467
8247,8239,14.945467
8263,8311,14.9619255
8263,8212,14.004885
8273,8309,13.362335
8288,8316,12.0785885
8294,8328,11.001834
8307,8348,10.858628
8308,8321,12.207359
8309,8273,13.362335
8311,8263,14.9619255
8316,8288,12.0785885
8321,8308,12.207359
8328,8294,11.001834
8330,8357,11.809176
8330,8383,14.188335
8336,8361,13.254771
8340,8394,14.855767
8348,8307,10.858628
8357,8383,10.703803
8357,8330,11.809176
8361,8336,13.254771
8383,8330,14.188335
8383,8357,10.703803
8394,8340,14.855767
8399,8436,8.472302
8399,8400,8.172833
8400,8399,8.172833
8400,8436,14.730471
8436,8400,14.730471
8436,8399,8.472302
8438,8489,14.509047
8441,8474,14.912318
8447,8449,8.8445425
8449,8447,8.8445425
8456,8465,11.761375
8465,8456,11.761375
8470,8526,14.717025
8474,8441,14.912318
8489,8438,14.509047
8523,8551,8.940339
8526,8470,14.717025
8551,8523,8.940339
8560,8589,13.038747
8580,8592,5.8865514
8589,8560,13.038747
8592,8580,5.8865514
8592,8617,12.987218
8609,8657,12.099839
8610,8641,10.902297
8612,8659,14.313308
8617,8592,12.987218
8640,8658,13.193431
8641,8658,14.20614
8641,8610,10.902297
8652,8708,14.134577
8655,8656,9.72254
8656,8655,9.72254
8657,8609,12.099839
8658,8640,13.193431
8658,8641,14.20614
8659,8612,14.313308
8673,8700,11.619776
8700,8673,11.619776
8708,8652,14.134577
8715,8741,10.936665
8741,8715,10.936665
8743,8787,12.5470295
8744,8778,13.902253
8766,8806,14.361415
8774,8820,14.635427
8778,8744,13.902253
8780,8800,11.943599
8781,8806,11.441097
8787,8743,12.5470295
8787,8801,12.535325
8787,8835,11.211583
8800,8780,11.943599
8801,8787,12.535325
8801,8832,9.019201
8801,8853,12.771397
8803,8834,13.946807
8806,8781,11.441097
8806,8766,14.361415
8820,8774,14.635427
8832,8801,9.019201
8832,8853,6.9249706
8834,8803,13.946807
8835,8787,11.211583
8835,8876,11.020402
8835,8853,13.208484
8836,8850,14.409432
8837,8845,14.005792
8845,8837,14.005792
8850,8836,14.409432
8853,8801,12.771397
8853,8835,13.208484
8853,8832,6.9249706
8860,8896,9.302177
8876,8897,9.49596
8876,8835,11.020402
8896,8860,9.302177
8897,8944,14.020041
8897,8876,9.49596
8914,8938,12.848847
8938,8914,12.848847
8944,8897,14.020041
8952,8968,8.487191
8964,8966,14.735184
8966,8964,14.735184
8968,8952,8.487191
9024,9081,14.233358
9052,9060,14.868137
9060,9052,14.868137
9081,9024,14.233358
9122,9153,11.559371
9133,9152,12.486188
9136,9152,9.827914
9136,9167,12.355616
9152,9136,9.827914
9152,9133,12.486188
9153,9122,11.559371
9158,9192,14.013371
9167,9136,12.355616
9177,9200,12.82426
9182,9209,11.488837
9192,9158,14.013371
9194,9228,13.888273
9200,9177,12.82426
9209,9182,11.488837
9223,9230,12.701612
9228,9194,13.888273
9230,9234,12.5813465
9230,9223,12.701612
9234,9230,12.5813465
9299,9325,14.117341
9302,9324,14.487414
9322,9355,9.898258
9324,9302,14.487414
9325,9299,14.117341
9332,9382,11.699244
9337,9378,12.388493
9355,9322,9.898258
9369,9415,12.488239
9378,9337,12.388493
9382,9332,11.699244
9415,9369,12.488239
9422,9452,11.042234
9422,9472,13.380957
9446,9476,10.925213
9452,9478,7.3992395
9452,9422,11.042234
9452,9472,12.4965105
9454,9460,8.055418
9455,9467,13.887624
9460,9454,8.055418
9467,9455,13.887624
9472,9452,12.4965105
9472,9422,13.380957
9472,9478,12.750941
9472,9494,11.0586815
9476,9446,10.925213
9478,9452,7.3992395
9478,9511,10.514215
9478,9472,12.750941
9494,9472,11.0586815
9503,9536,14.706011
9511,9478,10.514215
9515,9546,12.945857
9536,9503,14.706011
9546,9549,14.602072
9546,9515,12.945857
9549,9546,14.602072
9553,9563,12.150939
9561,9590,12.228571
9563,9553,12.150939
9585,9631,12.8935175
9590,9561,12.228571
9606,9628,13.83852
9607,9643,11.030776
9611,9650,12.223888
9624,9635,14.3725815
9628,9606,13.83852
9631,9585,12.8935175
9633,9640,7.969435
9635,9624,14.3725815
9640,9633,7.969435
9643,9607,11.030776
9650,9611,12.223888
9656,9700,12.660019
9656,9662,12.085713
9662,9656,12.085713
9690,9702,13.719319
9700,9656,12.660019
9702,9690,13.719319
9716,9765,14.5662565
9747,9780,13.825384
9749,9777,12.2787695
9765,9716,14.5662565
9777,9749,12.2787695
9780,9747,13.825384
9782,9810,14.961346
9787,9829,14.736863
9793,9808,12.02225
9802,9841,12.718062
9808,9793,12.02225
9810,9782,14.961346
9822,9833,11.175035
9829,9787,14.736863
9833,9822,11.175035
9835,9878,14.382198
9841,9802,12.718062
9851,9883,13.813922
9864,9878,14.003132
9871,9901,10.788437
9876,9899,10.492246
9877,9904,8.22406
9877,9915,12.787672
9878,9864,14.003132
9878,9835,14.382198
9883,9851,13.813922
9899,9876,10.492246
9901,9871,10.788437
9904,9877,8.22406
9904,9915,10.68751
9915,9904,10.68751
9915,9877,12.787672
9945,9961,7.7169876
9961,9945,7.7169876
10003,10009,9.915776
10003,10025,12.299717
10009,10003,9.915776
10009,10022,12.169694
10009,10034,7.1967998
10014,10048,13.959652
10022,10009,12.169694
10022,10034,10.58688
10023,10025,8.142602
10025,10034,14.768165
10025,10003,12.299717
10025,10023,8.142602
10034,10022,10.58688
10034,10009,7.1967998
10034,10025,14.768165
10048,10014,13.959652
10054,10086,9.789375
10082,10094,14.619589
10084,10121,14.800994
10086,10054,9.789375
10094,10082,14.619589
10101,10118,14.274956
10118,10101,14.274956
10121,10084,14.800994
10130,10131,9.215833
10131,10130,9.215833
10154,10165,9.609746
10165,10154,9.609746
10170,10174,14.165821
10174,10170,14.165821
10192,10212,11.231625
10212,10192,11.231625
10214,10228,9.890123
10228,10214,9.890123
10228,10250,9.908727
10232,10244,13.441871
10239,10262,14.274554
10244,10232,13.441871
10250,10228,9.908727
10260,10296,9.978824
10262,10239,14.274554
10262,10317,13.561258
10264,10287,14.503863
10273,10299,9.157101
10284,10302,10.29773
10287,10264,14.503863
10294,10341,12.331633
10296,10260,9.978824
10299,10273,9.157101
10299,10304,9.056641
10302,10284,10.29773
10304,10299,9.056641
10311,10318,13.469148
10317,10262,13.561258
10318,10359,14.768496
10318,10311,13.469148
10338,10356,13.142092
10341,10294,12.331633
10356,10338,13.142092
10359,10318,14.768496
10385,10411,13.206069
10399,10422,10.926026
10411,10385,13.206069
10422,10466,14.126481
10422,10399,10.926026
10424,10460,11.552954
10435,10443,13.017824
10443,10435,13.017824
10456,10502,13.126102
10460,10424,11.552954
10463,10481,6.677971
10466,10422,14.126481
10466,10489,11.120422
10481,10463,6.677971
10486,10494,10.687878
10489,10466,11.120422
10494,10486,10.687878
10498,10528,12.770258
10502,10456,13.126102
10506,10540,11.626596
10506,10531,10.616636
10520,10553,10.74828
10528,10498,12.770258
10531,10506,10.616636
10531,10540,7.2229857
10540,10531,7.2229857
10540,10506,11.626596
10553,10520,10.74828
